12.26368434401 0.01917029264523 -0.07240277424742   0.001197607938807 -0.07036059094724   
12.42611724923 0.01876071989899 -0.07161227581959   0.00119107326394 -0.0696322939045   
12.58855015444 0.01836425309948 -0.07083880271666   0.001183823984718 -0.06891818415431   
12.75098305966 0.01798032985671 -0.0700818069961   0.001175924784245 -0.06821788175669   
12.91341596488 0.01760841755022 -0.06934076192176   0.001167436121697 -0.06753101640743   
13.0758488701 0.01724801147978 -0.06861516115421   0.001158414430217 -0.06685722752699   
13.23828177532 0.01689863331886 -0.06790451845402   0.001148912582453 -0.06619616462531   
13.40071468054 0.01655982915377 -0.06720836594646   0.001138979527742 -0.06554748665082   
13.56314758576 0.01623116898158 -0.06652625591056   0.001128661966673 -0.06491086357931   
13.72558049098 0.01591224311691 -0.06585775466076   0.001118001271691 -0.06428597289159   
13.88801339619 0.01560266544954 -0.06520245246237   0.001107040264024 -0.06367250606792   
14.05044630141 0.01530206392912 -0.06455994434753   0.001095811571685 -0.06307015718928   
14.21287920663 0.01501009276885 -0.06392985778728   0.00108435633708 -0.06247863947789   
14.37531211185 0.01472641307863 -0.06331181473643   0.001072699513949 -0.06189766398015   
14.53774501707 0.01445071239496 -0.06270547162219   0.001060877001514 -0.06132696094423   
14.70017792229 0.01418268719699 -0.06211048474907   0.001048915094395 -0.06076626362934   
14.86261082751 0.01392204672123 -0.06152652748575   0.001036834911362 -0.06021531342036   
15.02504373272 0.01366852452289 -0.0609532892556   0.001024670201207 -0.05967386391503   
15.18747663794 0.01342185099412 -0.06039047016671   0.001012432748757 -0.05914167554946   
15.34990954316 0.01318178216142 -0.05983777122823   0.001000148797495 -0.05861850936917   
15.51234244838 0.0129480806005 -0.05929492664726   0.0009878375993845 -0.05810414803114   
15.6747753536 0.01272051639907 -0.05876166103436   0.0009755135720868 -0.05759836949001   
15.83720825882 0.01249887499551 -0.05823771108167   0.0009631940620678 -0.05710095954185   
15.99964116404 0.01228294967875 -0.05772283947349   0.0009508942803844 -0.05661172010302   
16.16207406925 0.01207254263923 -0.05721680090225   0.0009386288723738 -0.05613045069232   
16.32450697447 0.01186746332906 -0.05671935977593   0.0009264072484979 -0.05565695733657   
16.48693987969 0.01166753116273 -0.056230300535   0.0009142407879232 -0.05519105753969   
16.64937278491 0.01147257590234 -0.0557494080402   0.0009021446282125 -0.05473257181647   
16.81180569013 0.01128242939842 -0.05527647159853   0.0008901248476765 -0.0542813252081   
16.97423859535 0.01109693030391 -0.05481129251503   0.0008781858638721 -0.05383714875516   
17.13667150057 0.01091593078319 -0.05435367907404   0.0008663410999852 -0.0533998789899   
17.29910440579 0.01073928635055 -0.05390344604326   0.0008545996740374 -0.05296935949409   
17.461537311 0.01056685204895 -0.05346041329285   0.0008429612473302 -0.05254543707881   
17.62397021622 0.01039849366479 -0.05302440396204   0.0008314308440238 -0.05212795986661   
17.78640312144 0.01023408771885 -0.05259525081571   0.0008200197588232 -0.05171678375127   
17.94883602666 0.01007351005692 -0.05217279639342   0.0008087321623259 -0.05131177274391   
18.11126893188 0.009916637025852 -0.05175688260227   0.0007975663152289 -0.05091279069828   
18.2737018371 0.009763355189995 -0.05134735139073   0.0007865257508374 -0.05051970148945   
18.43613474232 0.009613559476622 -0.05094405660977   0.0007756180030028 -0.05013237737606   
18.59856764753 0.009467144421121 -0.05054686279871   0.0007648459608225 -0.04975069862234   
18.76100055275 0.009324004808078 -0.05015563215853   0.0007542083091048 -0.04937454519051   
18.92343345797 0.009184042492213 -0.0497702240201   0.0007437057202511 -0.04900379589676   
19.08586636319 0.009047166602927 -0.04939050717837   0.0007333415388796 -0.04863833544527   
19.24829926841 0.008913288136324 -0.04901636253736   0.0007231182354928 -0.04827805637933   
19.41073217363 0.008782318342741 -0.04864767208715   0.0007130362821061 -0.04792285354077   
19.57316507885 0.008654171819654 -0.04828431320299   0.0007030952868289 -0.04757262077276   
19.73559798407 0.008528768242237 -0.04792616626662   0.000693294599081 -0.04722725393306   
19.89803088928 0.008406030919043 -0.04757312197506   0.000683633980492 -0.04688665420753   
20.0604637945 0.008285885287717 -0.04722507759192   0.0006741146318389 -0.04655072722993   
20.22289669972 0.008168258795662 -0.04688192932229   0.0006647382334692 -0.04621938053953   
20.38532960494 0.008053080970665 -0.04654357174797   0.0006555040848467 -0.04589252277491   
20.54776251016 0.007940283457514 -0.04620990317924   0.0006464086085422 -0.04557006427845   
20.71019541538 0.007829800839581 -0.04588082851243   0.0006374490431409 -0.04525191770098   
20.8726283206 0.007721571418528 -0.0455562568619   0.0006286266501571 -0.04493799866334   
21.03506122581 0.007615536156887 -0.04523609840541   0.0006199444935018 -0.04462822638802   
21.19749413103 0.00751163637378 -0.0449202640075   0.0006114021551042 -0.04432252300488   
21.35992703625 0.007409813163964 -0.04460866646241   0.0006029943839032 -0.04402081135399   
21.52235994147 0.007310009757528 -0.04430122115283   0.0005947158590332 -0.04372301369055   
21.68479284669 0.007212174061385 -0.04399784620152   0.0005865662951549 -0.04342905343247   
21.84722575191 0.007116257927632 -0.0436984629398   0.0005785494950071 -0.04313885837593   
22.00965865713 0.007022213573474 -0.04340299595545   0.0005706673533159 -0.0428523614129   
22.17209156234 0.006929991211383 -0.04311137159509   0.0005629158754321 -0.04256949732818   
22.33452446756 0.006839540740728 -0.04282351591163   0.0005552878140148 -0.04229019896645   
22.49695737278 0.006750815688481 -0.04253935459657   0.00054777888333 -0.04201439715407   
22.659390278 0.006663774969612 -0.04225881564385   0.0005403906666064 -0.04174202471344   
22.82182318322 0.006578380411582 -0.0419818321371   0.0005331272215117 -0.04147302030962   
22.98425608844 0.006494592576449 -0.04170834184733   0.0005259891854407 -0.04120732791782   
23.14668899366 0.006412369181948 -0.04143828351655   0.0005189715083465 -0.04094489229793   
23.30912189888 0.006331667663765 -0.04117159338309   0.0005120668704775 -0.04068565500362   
23.47155480409 0.006252449224214 -0.04090820555866   0.0005052711125468 -0.04042955486982   
23.63398770931 0.006174680356506 -0.04064805610105   0.0004985853846572 -0.04017653242981   
23.79642061453 0.006098330428206 -0.04039108690796   0.0004920132657525 -0.03992653395479   
23.95885351975 0.006023367665898 -0.04013724563767   0.0004855558793363 -0.03967951133498   
24.12128642497 0.005949757217862 -0.03988648159878   0.0004792095243424 -0.03943541801738   
24.28371933019 0.005877462888256 -0.03963874128199   0.0004729676568619 -0.03919420473967   
24.44615223541 0.005806450816314 -0.03939396748101   0.0004668251161421 -0.0389558187471   
24.60858514062 0.005736691827511 -0.03915210269695   0.0004607808408145 -0.0387202069385   
24.77101804584 0.005668160544183 -0.03891309381421   0.0004548370158747 -0.03848732005626   
24.93345095106 0.005600832161715 -0.03867689409037   0.0004489957318112 -0.03825711441052   
25.09588385628 0.00553467960765 -0.03844346090216   0.0004432560702263 -0.03802954991714   
25.2583167615 0.005469673268003 -0.03821275119165   0.0004376138104049 -0.03780458624978   
25.42074966672 0.005405783280664 -0.03798471825152   0.0004320636498348 -0.03758218019103   
25.58318257194 0.005342982444108 -0.03775931221312   0.000426601967059 -0.03736228604558   
25.74561547715 0.005281247513298 -0.03753648363174   0.00042122804567 -0.03714485850432   
25.90804838237 0.00522055805414 -0.03731618731512   0.0004159431036276 -0.03692985563033   
26.07048128759 0.005160893866557 -0.03709838359934   0.0004107481282119 -0.03671723982157   
26.23291419281 0.005102232895044 -0.03688303633844   0.0004056421862472 -0.03650697628559   
26.39534709803 0.005044551008257 -0.03667010923955   0.0004006222762591 -0.0362990303344   
26.55778000325 0.004987823609621 -0.03645956315704   0.0003956845698984 -0.0360933654368   
26.72021290847 0.004932027819545 -0.03625135605239   0.0003908259970341 -0.03588994319917   
26.88264581369 0.004877143736047 -0.03604544539338   0.0003860451003228 -0.035688725027   
27.0450787189 0.004823154038627 -0.03584179119106   0.0003813417477269 -0.03548967416759   
27.20751162412 0.004770042352151 -0.03564035770091   0.0003767161151658 -0.03529275681213   
27.36994452934 0.004717791480896 -0.03544111279731   0.0003721676752707 -0.03509794167317   
27.53237743456 0.004666382644004 -0.0352440257569   0.0003676948715047 -0.03490519858779   
27.69481033978 0.004615795954126 -0.03504906470534   0.0003632953816503 -0.03471449697043   
27.857243245 0.004566011908049 -0.03485619571855   0.0003589669467497 -0.03452580530783   
28.01967615022 0.004517012544368 -0.03466538307639   0.0003547076599278 -0.03433909130699   
28.18210905543 0.004468782251011 -0.03447659176058   0.000350516496558 -0.03415432329762   
28.34454196065 0.004421306808933 -0.03428978830515   0.0003463924356549 -0.03397147059998   
28.50697486587 0.004374572874237 -0.03410494297533   0.0003423349449701 -0.0337905046727   
28.66940777109 0.004328566105407 -0.03392202747048   0.0003383426852755 -0.03361139783369   
28.83184067631 0.004283271577489 -0.03374101553009   0.0003344146881291 -0.03343412367926   
28.99427358153 0.004238673325801 -0.0335618794345   0.0003305494976036 -0.03325865544216   
29.15670648675 0.004194755662794 -0.0333845911025   0.0003267458975177 -0.03308496659648   
29.31913939197 0.0041515041251 -0.03320912108631   0.0003230030936281 -0.03291303050803   
29.48157229718 0.004108905117775 -0.03303544019231   0.0003193195129065 -0.03274282093833   
29.6440052024 0.004066947141394 -0.03286352026205   0.0003156945157844 -0.03257431230814   
29.80643810762 0.004025618526976 -0.03269333507659   0.0003121262369749 -0.03240747992798   
29.96887101284 0.00398490809939 -0.03252485950713   0.0003086134468315 -0.03224229932468   
30.13130391806 0.003944804114251 -0.03235807024316   0.0003051550281715 -0.0320787470173   
30.29373682328 0.003905293904477 -0.03219294361909   0.0003017497413533 -0.0319167994587   
30.4561697285 0.003866365198538 -0.03202945577266   0.0002983973788732 -0.03175643354222   
30.61860263371 0.003828005675941 -0.03186758316568   0.0002950974542949 -0.03159762713184   
30.78103553893 0.003790203821696 -0.03170730118382   0.0002918493868063 -0.03144035808198   
