11.77638562835 47.10301674703 -0.3918782661063   49.90784783467 -1.417178131949   
11.93881853357 47.09867885076 -0.3889326707062   49.90414163126 -1.404109291012   
12.10125143879 47.09451925623 -0.3860116344102   49.90049072023 -1.391293889258   
12.26368434401 47.09052986248 -0.3831170012188   49.89689558802 -1.378722062382   
12.42611724923 47.08670270942 -0.380250318691   49.89335672928 -1.366384568805   
12.58855015444 47.08303001331 -0.3774128685032   49.88987462461 -1.354272744793   
12.75098305966 47.07950419445 -0.3746056948688   49.88644972345 -1.342378462191   
12.91341596488 47.07611790291 -0.371829629591   49.88308242787 -1.33069408976   
13.0758488701 47.07286402629 -0.3690853185848   49.87977308824 -1.319212454341   
13.23828177532 47.06973573105 -0.3663732347076   49.87652197644 -1.307926813583   
13.40071468054 47.06672639607 -0.3636937218846   49.87332932908 -1.296830805055   
13.56314758576 47.06382980028 -0.3610469507766   49.87019522756 -1.285918466342   
13.72558049098 47.06103972716 -0.358433077239   49.86711984574 -1.275184093367   
13.88801339619 47.05835074753 -0.3558519640545   49.86410296865 -1.264622453557   
14.05044630141 47.05575684742 -0.3533037288507   49.86114481365 -1.254228322466   
14.21287920663 47.05325352869 -0.3507879017521   49.85824481267 -1.243997173633   
14.37531211185 47.05083503222 -0.3483045946319   49.85540314491 -1.233924181311   
14.53774501707 47.04849733926 -0.3458532501427   49.85261921218 -1.224005283289   
14.70017792229 47.0462356889 -0.3434335777513   49.8498926709 -1.214236344609   
14.86261082751 47.04404576696 -0.3410455142326   49.84722333531 -1.204613223305   
15.02504373272 47.0419238872 -0.3386880463971   49.84461036844 -1.195132742349   
15.18747663794 47.03986632469 -0.3363614335549   49.8420533616 -1.18579075237   
15.34990954316 47.03786893249 -0.3340647665703   49.83955195489 -1.176584318975   
15.51234244838 47.03592931765 -0.3317976880399   49.83710506779 -1.167510077792   
15.6747753536 47.03404384513 -0.3295598386962   49.8347122594 -1.158564866607   
15.83720825882 47.03220920707 -0.3273506188235   49.83237296318 -1.149745824205   
15.99964116404 47.0304234624 -0.3251696145688   49.83008612305 -1.141050023398   
16.16207406925 47.0286836473 -0.323016179942   49.82785101568 -1.132474897367   
16.32450697447 47.02698695155 -0.3208900052791   49.82566701178 -1.124017642669   
16.48693987969 47.02533157659 -0.3187906641953   49.82353321387 -1.115675674995   
16.64937278491 47.0237154103 -0.3167172975732   49.82144862035 -1.107446912827   
16.81180569013 47.02213617095 -0.3146696316942   49.81941240024 -1.099328796657   
16.97423859535 47.02059198991 -0.3126475048775   49.81742388036 -1.09131877712   
17.13667150057 47.01908122198 -0.3106500227588   49.81548211644 -1.08341507612   
17.29910440579 47.01760234723 -0.3086765628239   49.8135859407 -1.075615698766   
17.461537311 47.01615375826 -0.3067271602054   49.81173455416 -1.067918130739   
17.62397021622 47.01473373487 -0.3048013756694   49.80992736481 -1.060320413473   
17.78640312144 47.01334102179 -0.3028982911354   49.80816332644 -1.052821070373   
17.94883602666 47.01197476618 -0.3010175376827   49.80644119787 -1.045418145934   
18.11126893188 47.01063367981 -0.299159111417   49.80476021944 -1.038109447802   
18.2737018371 47.00931616245 -0.2973225267174   49.80311984284 -1.030893319671   
18.43613474232 47.0080212654 -0.2955070301754   49.80151907637 -1.0237683753   
18.59856764753 47.0067485813 -0.2937122620561   49.79995668883 -1.016732897347   
18.76100055275 47.00549722096 -0.2919381036724   49.79843182383 -1.009785029911   
18.92343345797 47.00426578011 -0.2901841941664   49.79694392847 -1.002923210306   
19.08586636319 47.00305331422 -0.2884499977586   49.79549222543 -0.996146064187   
19.24829926841 47.00185957621 -0.2867351106188   49.79407563559 -0.9894521324267   
19.41073217363 47.00068418686 -0.2850392468865   49.79269316433 -0.9828399114523   
19.57316507885 46.99952617337 -0.2833620968572   49.79134409549 -0.9763079673321   
19.73559798407 46.99838452216 -0.2817033561983   49.79002780061 -0.9698548844143   
19.89803088928 46.99725876143 -0.280062748013   49.78874352387 -0.9634792647967   
20.0604637945 46.99614874436 -0.2784399064269   49.78749037855 -0.9571798602807   
20.22289669972 46.99505409913 -0.2768343772192   49.78626746623 -0.9509555447088   
20.38532960494 46.99397413456 -0.2752458423098   49.78507399245 -0.944805065317   
20.54776251016 46.99290818186 -0.2736742198567   49.78390932181 -0.9387269672557   
20.71019541538 46.99185583145 -0.272119403047   49.78277290562 -0.9327198918617   
20.8726283206 46.99081685154 -0.2705809759529   49.78166409199 -0.9267828465778   
21.03506122581 46.98979101188 -0.2690583523874   49.78058201583 -0.9209150119192   
21.19749413103 46.98877800398 -0.2675511984217   49.77952575628 -0.9151152998803   
