              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]
     6.74096556660254     0.04546518096978    -0.18458223660911    -0.24682174555706    -0.63647668236602
     6.90339847182187     0.04296986736900    -0.18401140508272    -0.25377964752873    -0.63300771633475
     7.06583137704121     0.04058005958310    -0.18339569364325    -0.26035278626387    -0.62953306116913
     7.22826428226055     0.03829173708186    -0.18273922953501    -0.26656039415462    -0.62606206661577
     7.39069718747989     0.03610098643828    -0.18204583095826    -0.27242073210684    -0.62260289128071
     7.55313009269923     0.03400400427321    -0.18131902934629    -0.27795112544312    -0.61916262668323
     7.71556299791856     0.03199709927895    -0.18056209006925    -0.28316800137534    -0.61574740949011
     7.87799590313790     0.03007669344326    -0.17977803167489    -0.28808692739394    -0.61236252290096
     8.04042880835724     0.02823932258054    -0.17896964376968    -0.29272265002931    -0.60901248810888
     8.20286171357658     0.02648163626333    -0.17813950363568    -0.29708913353425    -0.60570114670882
     8.36529461879592     0.02480039723753    -0.17728999167245    -0.30119959812284    -0.60243173487125
     8.52772752401526     0.02319248039417    -0.17642330574565    -0.30506655747392    -0.59920695004106
     8.69016042923459     0.02165487136375    -0.17554147451881    -0.30870185527247    -0.59602901086567
     8.85259333445393     0.02018466479044    -0.17464636983804    -0.31211670061614    -0.59289971100043
     9.01502623967327     0.01877906233833    -0.17373971823595    -0.31532170216155    -0.58982046738496
     9.17745914489261     0.01743537047562    -0.17282311161451    -0.31832690092289    -0.58679236353375
     9.33989205011195     0.01615099807753    -0.17189801716394    -0.32114180166821    -0.58381618833490
     9.50232495533129     0.01492345388417    -0.17096578657013    -0.32377540288477    -0.58089247080626
     9.66475786055062     0.01375034384556    -0.17002766455932    -0.32623622530626    -0.57802151121569
     9.82719076576996     0.01262936838201    -0.16908479682633    -0.32853233901177    -0.57520340893379
     9.98962367098930     0.01155831958477    -0.16813823738848    -0.33067138911966    -0.57243808735111
    10.15205657620864     0.01053507837866    -0.16718895540577    -0.33266062010990    -0.56972531615956
    10.31448948142798     0.00955761166583    -0.16623784150396    -0.33450689881617    -0.56706473126838
    10.47692238664731     0.00862396946695    -0.16528571363606    -0.33621673613462    -0.56445585259671
    10.63935529186665     0.00773228207431    -0.16433332251420    -0.33779630750015    -0.56189809996203
