              Im{iWn}     Re{Delta_1}[1,1]     Im{Delta_1}[1,1]     Re{Delta_1}[2,1]     Im{Delta_1}[2,1]
    14.53774501713077    -0.00476802172672    -0.14252088354240    -0.34831670427410    -0.51351178597627
    14.70017792235011    -0.00503618947912    -0.14168448166595    -0.34796962109125    -0.51193564595604
    14.86261082756945    -0.00529091734858    -0.14085468437824    -0.34758019469071    -0.51038645530034
    15.02504373278878    -0.00553277988465    -0.14003151649695    -0.34715014493323    -0.50886338294940
    15.18747663800812    -0.00576232649937    -0.13921499632528    -0.34668112188960    -0.50736561672096
    15.34990954322746    -0.00598008330034    -0.13840513505188    -0.34617470827023    -0.50589236327933
    15.51234244844680    -0.00618655323711    -0.13760193768682    -0.34563242333184    -0.50444284901335
    15.67477535366614    -0.00638221778005    -0.13680540392047    -0.34505572585515    -0.50301631892877
    15.83720825888547    -0.00656753774408    -0.13601552811380    -0.34444601684849    -0.50161203717408
    15.99964116410481    -0.00674295389503    -0.13523229974865    -0.34380464245450    -0.50022928727811
    16.16207406932415    -0.00690888821564    -0.13445570407722    -0.34313289646413    -0.49886737120393
    16.32450697454349    -0.00706551524446    -0.13368502009660    -0.34243129528632    -0.49752523065072
    16.48693987976283    -0.00721347510490    -0.13292098654137    -0.34170181066570    -0.49620259570293
    16.64937278498217    -0.00735313561458    -0.13216357309981    -0.34094559071370    -0.49489882381783
    16.81180569020150    -0.00748484897948    -0.13141274678657    -0.34016374041344    -0.49361329037533
    16.97423859542084    -0.00760895247573    -0.13066847217757    -0.33935732355820    -0.49234538841263
    17.13667150064018    -0.00772576910137    -0.12993071162843    -0.33852736458609    -0.49109452834244
    17.29910440585952    -0.00783560819922    -0.12919942547713    -0.33767485031703    -0.48986013765683
    17.46153731107886    -0.00793876605224    -0.12847457223254    -0.33680073159794    -0.48864166061951
    17.62397021629819    -0.00803552645213    -0.12775610874891    -0.33590592486147    -0.48743855794869
    17.78640312151753    -0.00812616124315    -0.12704399038871    -0.33499131360343    -0.48625030649238
    17.94883602673687    -0.00821093084129    -0.12633817117309    -0.33405774978363    -0.48507639889775
    18.11126893195621    -0.00829008473067    -0.12563860392215    -0.33310605515470    -0.48391634327645
