  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -2   -1    0       4    5    0       1    1     14.82894837661549  -0.00000477791419
  -1   -2    0       5    4    0       1    1     14.82894837661549  -0.00000477785140
   0    0   -3       0    0    3       1    1     15.41069519203044  -0.00011888078318
   1   -2   -2       1    4    4       1    1     15.41069519975086  -0.00005369162657
   2   -1    2       2    5    2       1    1     15.41069519975086  -0.00005369180657
  -2    1   -2       4    1    4       1    1     15.41069519975086  -0.00005369180657
  -1    2    2       5    2    2       1    1     15.41069519975086  -0.00005369162657
   0   -3    0       0    3    0       1    1     15.41069520846857  -0.00011884149823
  -3    0    0       3    0    0       1    1     15.41069520846857  -0.00011884284332
   2    2   -1       2    2    5       1    1     15.41069520946586  -0.00005367805893
  -2   -2    1       4    4    1       1    1     15.41069520946586  -0.00005367805893
   1   -1   -3       1    5    3       1    1     15.69348383016545  -0.00001866348274
  -1    1   -3       5    1    3       1    1     15.69348383016545  -0.00001866348274
   1   -3   -1       1    3    5       1    1     15.69348384312740  -0.00001850497322
  -3    1   -1       3    1    5       1    1     15.69348384312740  -0.00001850494032
  -3   -1    1       3    5    1       1    1     15.69348384728670  -0.00001850494032
  -1   -3    1       5    3    1       1    1     15.69348384728670  -0.00001850497322
   2   -2   -3       2    4    3       1    1     16.51281805161215  -0.00022656530277
  -2    2   -3       4    2    3       1    1     16.51281805161215  -0.00022656530277
   2   -3   -2       2    3    4       1    1     16.51281805881728  -0.00022639518358
  -3    2   -2       3    2    4       1    1     16.51281805881728  -0.00022639532511
  -3   -2    2       3    4    2       1    1     16.51281806672312  -0.00022639532511
  -2   -3    2       4    3    2       1    1     16.51281806672312  -0.00022639518358
   1    1    2       1    1    2       1    1     19.44798346288386  -0.00003629132363
  -1   -1   -2       5    5    4       1    1     19.44798346288386  -0.00003629132363
   1    2    1       1    2    1       1    1     19.44798346778514  -0.00003629998081
   2    1    1       2    1    1       1    1     19.44798346778514  -0.00003629988892
  -2   -1   -1       4    5    5       1    1     19.44798346778514  -0.00003629988892
  -1   -2   -1       5    4    5       1    1     19.44798346778514  -0.00003629998081
   0    2    2       0    2    2       1    1     19.67282311206499  -0.00028882638646
   0   -2   -2       0    4    4       1    1     19.67282311206499  -0.00028882638646
   2    0    2       2    0    2       1    1     19.67282311206499  -0.00028882689056
  -2    0   -2       4    0    4       1    1     19.67282311206499  -0.00028882689056
   2    2    0       2    2    0       1    1     19.67282312000000  -0.00028926791593
  -2   -2    0       4    4    0       1    1     19.67282312000000  -0.00028926791593
   0   -1   -3       0    5    3       1    1     19.89512194898239  -0.00002014425408
  -1    0   -3       5    0    3       1    1     19.89512194898239  -0.00002014409233
   0   -3   -1       0    3    5       1    1     19.89512196030055  -0.00002007229479
  -3    0   -1       3    0    5       1    1     19.89512196030055  -0.00002007254963
  -3   -1    0       3    5    0       1    1     19.89512196335577  -0.00002007419566
  -1   -3    0       5    3    0       1    1     19.89512196335577  -0.00002007395323
   1   -2   -3       1    4    3       1    1     20.33242961912987   0.00004680240977
  -2    1   -3       4    1    3       1    1     20.33242961912987   0.00004680238274
   1   -3   -2       1    3    4       1    1     20.33242962551652   0.00004689305529
  -3    1   -2       3    1    4       1    1     20.33242962551652   0.00004689278331
  -3   -2    1       3    4    1       1    1     20.33242963448505   0.00004687189530
  -2   -3    1       4    3    1       1    1     20.33242963448505   0.00004687181997
   2   -3   -3       2    3    3       1    1     21.17997469122302  -0.00001885510739
  -3    2   -3       3    2    3       1    1     21.17997469122302  -0.00001885542954
  -3   -3    2       3    3    2       1    1     21.17997470557242  -0.00001878629547
   1    2    2       1    2    2       1    1     24.27603473097328   0.00101621527944
   2    1    2       2    1    2       1    1     24.27603473097328   0.00101621662523
  -2   -1   -2       4    5    4       1    1     24.27603473097328   0.00101621662523
  -1   -2   -2       5    4    4       1    1     24.27603473097328   0.00101621527944
   2    2    1       2    2    1       1    1     24.27603473534792   0.00101619289901
  -2   -2   -1       4    4    5       1    1     24.27603473534792   0.00101619289901
  -1   -1   -3       5    5    3       1    1     24.45652817560059   0.03543416816090
  -3   -1   -1       3    5    5       1    1     24.45652818569744   0.03543427198590
  -1   -3   -1       5    3    5       1    1     24.45652818569744   0.03543426504346
   0   -2   -3       0    4    3       1    1     24.63569927625233  -0.00014043102959
  -2    0   -3       4    0    3       1    1     24.63569927625233  -0.00014043196963
   0   -3   -2       0    3    4       1    1     24.63569928196498  -0.00014016388716
  -3    0   -2       3    0    4       1    1     24.63569928196498  -0.00014016406671
  -3   -2    0       3    4    0       1    1     24.63569928918466  -0.00014030739260
  -2   -3    0       4    3    0       1    1     24.63569928918466  -0.00014030201476
   1   -3   -3       1    3    3       1    1     25.16555988067667   0.00006863261328
  -3    1   -3       3    1    3       1    1     25.16555988067667   0.00006863222974
  -3   -3    1       3    3    1       1    1     25.16555989481201   0.00006862451420
   2    2    2       2    2    2       1    1     29.05868554704585   0.00008084252521
  -2   -2   -2       4    4    4       1    1     29.05868554704585   0.00008084252521
  -2   -1   -3       4    5    3       1    1     29.20964076884304  -0.00145355830848
  -1   -2   -3       5    4    3       1    1     29.20964076884304  -0.00145356321818
  -3   -1   -2       3    5    4       1    1     29.20964077403359  -0.00145377933921
  -1   -3   -2       5    3    4       1    1     29.20964077403359  -0.00145376590468
  -3   -2   -1       3    4    5       1    1     29.20964077804179  -0.00145295782309
  -2   -3   -1       4    3    5       1    1     29.20964077804179  -0.00145296588286
   0   -3   -3       0    3    3       1    1     29.50923466809749  -0.00011646321498
  -3    0   -3       3    0    3       1    1     29.50923466809749  -0.00011646625432
  -3   -3    0       3    3    0       1    1     29.50923468000000  -0.00011618230509
  -2   -2   -3       4    4    3       1    1     33.94501435058798  -0.00021421770222
  -3   -2   -2       3    4    4       1    1     33.94501435537493  -0.00021429401308
  -2   -3   -2       4    3    4       1    1     33.94501435537493  -0.00021429217132
  -3   -1   -3       3    5    3       1    1     34.07432915975923   0.00006863222974
  -1   -3   -3       5    3    3       1    1     34.07432915975923   0.00006863261328
  -3   -3   -1       3    3    5       1    1     34.07432916828324   0.00006862451420
  -3   -2   -3       3    4    3       1    1     38.78273243442548  -0.00001885542954
  -2   -3   -3       4    3    3       1    1     38.78273243442548  -0.00001885510739
  -3   -3   -2       3    3    4       1    1     38.78273243889581  -0.00001878629547
  -3   -3   -3       3    3    3       1    1     43.58802832056877  -0.00076306875373
