  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -1    0    3       9    0    3       1    1      8.60998998000000   0.06730624840655
  -1    3    0       9    3    0       1    1      8.60998998000000   0.06744931968567
  -1   -4   -1       9    6    9       1    1      8.60998998000000   0.06729145790153
  -1   -1   -4       9    9    6       1    1      8.60998998000000   0.06744931968567
   1    3    4       1    3    4       1    1      9.07572632267586  -0.10619674817942
   1    4    3       1    4    3       1    1      9.07572632267586  -0.10625361574429
   1   -3   -2       1    7    8       1    1      9.07572632267586  -0.10611324311875
   1   -2   -3       1    8    7       1    1      9.07572632267586  -0.10625361574429
   2    3   -1       2    3    9       1    1      9.07572632267586  -0.10628145327307
   2   -1    3       2    9    3       1    1      9.07572632267586  -0.10625361574429
   3    1    4       3    1    4       1    1      9.07572632267586  -0.10611324311875
   3    2   -1       3    2    9       1    1      9.07572632267586  -0.10628145327307
   3   -1    2       3    9    2       1    1      9.07572632267586  -0.10619674817943
   4    1    3       4    1    3       1    1      9.07572632267586  -0.10625361574429
  -4   -1   -3       6    9    7       1    1      9.07572632267586  -0.10625361574429
  -3    1   -2       7    1    8       1    1      9.07572632267586  -0.10619674817943
  -3   -2    1       7    8    1       1    1      9.07572632267586  -0.10628145327307
  -3   -1   -4       7    9    6       1    1      9.07572632267586  -0.10611324311875
  -2    1   -3       8    1    7       1    1      9.07572632267586  -0.10625361574429
  -2   -3    1       8    7    1       1    1      9.07572632267586  -0.10628145327307
  -1    2    3       9    2    3       1    1      9.07572632267586  -0.10625361574429
  -1    3    2       9    3    2       1    1      9.07572632267586  -0.10611324311875
  -1   -4   -3       9    6    7       1    1      9.07572632267586  -0.10625361574429
  -1   -3   -4       9    7    6       1    1      9.07572632267586  -0.10619674817942
   3    4    1       3    4    1       1    1      9.07572632267587  -0.10628145327307
   4    3    1       4    3    1       1    1      9.07572632267587  -0.10628145327307
  -4   -3   -1       6    7    9       1    1      9.07572632267587  -0.10628145327307
  -3   -4   -1       7    6    9       1    1      9.07572632267587  -0.10628145327307
   0    1    4       0    1    4       1    1      9.40991333145104   0.82216937954457
   0    4    1       0    4    1       1    1      9.40991333145104   0.82210120962628
   0   -4   -1       0    6    9       1    1      9.40991333145104   0.82210120962628
   0   -1   -4       0    9    6       1    1      9.40991333145104   0.82216937954457
   1    0    4       1    0    4       1    1      9.40991333145104   0.82210120962628
   1    1   -3       1    1    7       1    1      9.40991333145104   0.82222233426889
   1    4    0       1    4    0       1    1      9.40991333145104   0.82222233426889
   1   -3    1       1    7    1       1    1      9.40991333145104   0.82216937954457
   3   -1   -1       3    9    9       1    1      9.40991333145104   0.82210120962628
   4    0    1       4    0    1       1    1      9.40991333145104   0.82216937954457
   4    1    0       4    1    0       1    1      9.40991333145104   0.82222233426889
   4    4    3       4    4    3       1    1      9.40991333145104   0.82222233426889
  -4    0   -1       6    0    9       1    1      9.40991333145104   0.82216937954457
  -4   -4   -3       6    6    7       1    1      9.40991333145104   0.82222233426889
  -4   -1    0       6    9    0       1    1      9.40991333145104   0.82222233426889
  -3    1    1       7    1    1       1    1      9.40991333145104   0.82210120962628
  -1    0   -4       9    0    6       1    1      9.40991333145104   0.82210120962628
  -1    3   -1       9    3    9       1    1      9.40991333145104   0.82216937954457
  -1   -4    0       9    6    0       1    1      9.40991333145104   0.82222233426889
  -1   -1    3       9    9    3       1    1      9.40991333145104   0.82222233426889
   3    4    4       3    4    4       1    1      9.40991333145104   0.82216937954457
   4    3    4       4    3    4       1    1      9.40991333145104   0.82210120962629
  -4   -3   -4       6    7    6       1    1      9.40991333145104   0.82210120962629
  -3   -4   -4       7    6    6       1    1      9.40991333145104   0.82216937954457
   2    2   -2       2    2    8       1    1      9.51870207079320  -0.04018977070576
   2    4    0       2    4    0       1    1      9.51870207079320  -0.04018977070576
   4    2    0       4    2    0       1    1      9.51870207079320  -0.04018977070576
   4    4    2       4    4    2       1    1      9.51870207079320  -0.04018977070576
  -4   -4   -2       6    6    8       1    1      9.51870207079320  -0.04018977070576
  -4   -2    0       6    8    0       1    1      9.51870207079320  -0.04018977070576
  -2   -4    0       8    6    0       1    1      9.51870207079320  -0.04018977070576
